"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21, 2019","10,179.3","9,517.7","10,184.3","9,517.4","769.12K","6.96%"
"Jun 20, 2019","9,517.0","9,255.0","9,583.9","9,188.4","693.62K","2.83%"
"Jun 19, 2019","9,255.4","9,080.7","9,295.1","9,044.0","587.57K","1.93%"
"Jun 18, 2019","9,080.6","9,318.9","9,336.1","8,962.7","723.17K","-2.56%"
"Jun 17, 2019","9,318.8","8,961.0","9,438.1","8,959.8","738.80K","3.98%"
"Jun 16, 2019","8,962.5","8,812.2","9,332.0","8,771.1","849.77K","1.70%"
"Jun 15, 2019","8,812.5","8,655.8","8,856.7","8,582.3","608.69K","1.81%"
"Jun 14, 2019","8,656.1","8,218.6","8,685.3","8,153.2","643.17K","5.32%"
"Jun 13, 2019","8,219.0","8,132.4","8,306.1","8,028.6","574.21K","1.06%"
"Jun 12, 2019","8,133.1","7,888.0","8,198.1","7,805.8","607.89K","3.11%"
"Jun 11, 2019","7,888.0","7,987.8","8,010.4","7,714.5","579.00K","-1.25%"
"Jun 10, 2019","7,987.8","7,635.0","8,012.8","7,523.6","641.38K","4.62%"
"Jun 09, 2019","7,635.0","7,901.6","7,937.5","7,516.9","554.48K","-3.37%"
"Jun 08, 2019","7,901.4","7,985.3","8,044.4","7,770.5","485.81K","-1.05%"
"Jun 07, 2019","7,985.2","7,785.8","8,099.4","7,749.4","588.87K","2.57%"
"Jun 06, 2019","7,784.9","7,779.6","7,861.4","7,480.4","651.82K","0.08%"
"Jun 05, 2019","7,779.1","7,685.6","7,885.0","7,590.4","762.94K","1.22%"
"Jun 04, 2019","7,685.5","8,118.1","8,118.1","7,494.0","966.95K","-5.41%"
"Jun 03, 2019","8,124.8","8,728.6","8,734.9","8,102.7","739.45K","-6.92%"
"Jun 02, 2019","8,728.6","8,545.8","8,807.7","8,534.8","614.54K","2.14%"
"Jun 01, 2019","8,545.7","8,556.9","8,615.8","8,454.0","686.75K","-0.15%"
"May 31, 2019","8,558.3","8,271.4","8,578.8","8,135.0","858.41K","3.46%"
"May 30, 2019","8,271.9","8,647.8","9,045.9","8,054.7","1.04M","-4.35%"
"May 29, 2019","8,647.8","8,715.6","8,747.2","8,435.3","15.43M","-0.79%"
"May 28, 2019","8,716.3","8,759.4","8,794.1","8,568.8","763.20K","-0.50%"
"May 27, 2019","8,760.1","8,628.9","8,902.8","8,607.3","907.96K","1.51%"
"May 26, 2019","8,630.2","8,029.6","8,718.6","7,866.5","872.12K","7.51%"
"May 25, 2019","8,027.4","7,971.4","8,090.1","7,919.1","691.27K","0.72%"
"May 24, 2019","7,970.1","7,852.8","8,124.1","7,775.4","868.47K","1.50%"
"May 23, 2019","7,852.1","7,637.2","7,939.1","7,486.8","815.14K","2.83%"
"May 22, 2019","7,635.7","7,928.7","7,999.0","7,545.9","821.40K","-3.72%"
"May 21, 2019","7,930.3","7,965.0","8,056.8","7,813.2","804.88K","-0.44%"
"May 20, 2019","7,965.3","8,156.4","8,156.4","7,604.0","958.81K","-2.35%"
"May 19, 2019","8,157.2","7,261.9","8,253.4","7,252.3","1.08M","12.32%"
"May 18, 2019","7,262.6","7,359.9","7,458.5","7,189.4","865.53K","-1.32%"
"May 17, 2019","7,359.5","7,871.9","7,924.0","6,998.6","1.43M","-6.51%"
"May 16, 2019","7,871.8","8,164.8","8,293.3","7,720.4","1.18M","-3.59%"
"May 15, 2019","8,164.6","7,994.8","8,225.3","7,856.5","1.13M","2.13%"
"May 14, 2019","7,994.6","7,806.4","8,323.9","7,674.0","1.33M","2.42%"
"May 13, 2019","7,806.0","6,984.7","8,058.3","6,893.1","1.20M","11.76%"
"May 12, 2019","6,984.8","7,190.0","7,518.9","6,802.6","1.35M","-2.86%"
"May 11, 2019","7,190.3","6,386.6","7,373.8","6,386.5","1.31M","12.59%"
"May 10, 2019","6,386.0","6,194.3","6,466.6","6,157.8","907.94K","3.14%"
"May 09, 2019","6,191.5","5,990.5","6,206.0","5,990.0","799.96K","3.36%"
"May 08, 2019","5,990.3","5,849.4","6,011.3","5,799.1","757.13K","2.41%"
"May 07, 2019","5,849.5","5,745.5","6,019.8","5,745.5","955.88K","1.82%"
"May 06, 2019","5,745.1","5,775.1","5,801.4","5,630.5","755.39K","-0.52%"
"May 05, 2019","5,774.9","5,830.8","5,838.2","5,708.2","709.02K","-0.96%"
"May 04, 2019","5,830.9","5,768.0","5,899.2","5,605.0","920.61K","1.11%"
"May 03, 2019","5,766.8","5,493.6","5,844.2","5,478.7","1.04M","4.97%"
"May 02, 2019","5,493.8","5,384.6","5,530.8","5,370.0","722.23K","2.04%"
"May 01, 2019","5,384.2","5,321.1","5,396.3","5,319.5","623.64K","1.19%"
"Apr 30, 2019","5,320.8","5,235.4","5,336.6","5,195.9","697.42K","1.64%"
"Apr 29, 2019","5,235.0","5,302.4","5,322.9","5,188.9","775.82K","-1.27%"
"Apr 28, 2019","5,302.3","5,265.7","5,332.5","5,234.4","681.41K","0.69%"
"Apr 27, 2019","5,265.9","5,298.2","5,318.1","5,225.4","833.13K","-0.61%"
"Apr 26, 2019","5,298.3","5,209.2","5,469.3","5,159.3","1.03M","1.71%"
"Apr 25, 2019","5,209.1","5,415.6","5,528.2","5,137.4","955.36K","-3.81%"
"Apr 24, 2019","5,415.6","5,511.2","5,589.6","5,346.8","994.04K","-1.74%"
"Apr 23, 2019","5,511.6","5,346.5","5,594.4","5,291.4","900.00K","3.08%"
"Apr 22, 2019","5,346.7","5,248.2","5,370.2","5,170.2","920.77K","1.97%"
"Apr 21, 2019","5,243.5","5,290.2","5,308.2","5,189.8","811.41K","-0.88%"
"Apr 20, 2019","5,290.2","5,241.0","5,327.0","5,240.2","782.32K","0.94%"
"Apr 19, 2019","5,241.0","5,264.8","5,282.4","5,192.1","787.09K","-0.45%"
"Apr 18, 2019","5,264.7","5,208.3","5,293.1","5,205.0","727.97K","1.08%"
"Apr 17, 2019","5,208.3","5,182.1","5,230.9","5,165.5","806.52K","0.53%"
"Apr 16, 2019","5,180.9","5,031.4","5,198.4","5,014.4","631.05K","2.95%"
"Apr 15, 2019","5,032.3","5,135.1","5,168.0","4,964.2","688.20K","-2.00%"
"Apr 14, 2019","5,134.8","5,052.0","5,153.5","5,010.7","566.38K","1.64%"
"Apr 13, 2019","5,051.8","5,054.2","5,093.4","5,011.6","577.16K","-0.05%"
"Apr 12, 2019","5,054.2","5,022.7","5,080.5","4,889.2","779.14K","0.63%"
"Apr 11, 2019","5,022.6","5,307.7","5,337.0","4,948.0","943.49K","-5.37%"
"Apr 10, 2019","5,307.8","5,158.4","5,404.1","5,142.9","837.51K","2.89%"
"Apr 09, 2019","5,158.4","5,245.0","5,245.9","5,095.2","784.62K","-1.65%"
"Apr 08, 2019","5,245.2","5,173.5","5,300.6","5,060.5","928.23K","1.38%"
"Apr 07, 2019","5,173.6","5,046.1","5,219.5","5,033.7","841.27K","2.53%"
"Apr 06, 2019","5,046.2","5,010.0","5,198.4","4,947.9","952.18K","0.72%"
"Apr 05, 2019","5,010.2","4,902.5","5,029.4","4,888.3","851.72K","2.20%"
"Apr 04, 2019","4,902.4","4,968.7","5,042.5","4,789.2","1.05M","-1.33%"
"Apr 03, 2019","4,968.7","4,859.3","5,278.4","4,814.0","13.83M","2.25%"
"Apr 02, 2019","4,859.3","4,145.1","4,899.6","4,143.5","14.77M","17.23%"
"Apr 01, 2019","4,145.1","4,102.3","4,159.1","4,076.8","3.22M","1.04%"
"Mar 31, 2019","4,102.3","4,111.8","4,121.9","4,082.2","2.43M","-0.23%"
"Mar 30, 2019","4,111.8","4,103.7","4,138.1","4,057.1","2.55M","0.23%"
"Mar 29, 2019","4,102.2","4,025.7","4,123.1","4,022.6","3.30M","1.90%"
"Mar 28, 2019","4,025.6","4,041.7","4,041.7","4,008.4","2.11M","-0.40%"
"Mar 27, 2019","4,041.7","3,942.8","4,043.3","3,936.2","2.78M","2.51%"
"Mar 26, 2019","3,942.8","3,937.1","3,950.7","3,899.9","2.53M","0.15%"
"Mar 25, 2019","3,937.0","3,994.8","4,000.5","3,897.9","2.86M","-1.44%"
"Mar 24, 2019","3,994.7","4,002.6","4,005.7","3,967.0","2.04M","-0.20%"
"Mar 23, 2019","4,002.5","3,990.4","4,018.2","3,980.8","2.00M","0.30%"
"Mar 22, 2019","3,990.4","3,982.2","4,005.7","3,971.8","2.83M","0.21%"
"Mar 21, 2019","3,982.2","4,041.2","4,064.0","3,923.8","3.88M","-1.46%"
"Mar 20, 2019","4,041.2","4,017.0","4,050.0","3,985.3","3.18M","0.60%"
